Setup_TWO_SIDES,Movement_MOVE_EXACTLY_2,Movement_LEAPFROG,Movement_MOVE_1,Movement_MOVE_2,Push_PUSH_1,PushOut_OUT_IS_GONE,PushOut_CENTER_IF_FREE,PushOut_CENTER_REPLACE,PushRequirement_EQUAL,PushRequirement_MORE,PushRequirement_FEWER_OR_EQUAL,PushRequirement_FEWER_OR_MORE,PushRequirement_MORE_OR_EQUAL,PushRequirement_EVEN,PushRequirement_UNEVEN,Victory_YOUR_COLOR,Victory_ANY_THREE,Victory_ONE_OF_EACH,Victory_PUSH_OUT,total_games,player0_wins,player0_win_rate
1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6,5,0.8333333333333334
1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,24,19,0.7916666666666666
1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,12,9,0.75
1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,24,17,0.7083333333333334
1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,30,20,0.6666666666666666
1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,18,12,0.6666666666666666
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,12,8,0.6666666666666666
1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,36,24,0.6666666666666666
1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,4,0.6666666666666666
1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,12,8,0.6666666666666666
1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6,4,0.6666666666666666
1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,24,16,0.6666666666666666
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,36,23,0.6388888888888888
1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,36,23,0.6388888888888888
1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,36,23,0.6388888888888888
1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,36,23,0.6388888888888888
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,30,19,0.6333333333333333
1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,30,19,0.6333333333333333
1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,30,19,0.6333333333333333
1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,24,15,0.625
1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,24,15,0.625
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,24,15,0.625
1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,24,15,0.625
1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,24,15,0.625
1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,36,22,0.6111111111111112
1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,18,11,0.6111111111111112
1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,18,11,0.6111111111111112
1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,18,11,0.6111111111111112
1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,36,22,0.6111111111111112
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,18,11,0.6111111111111112
1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,18,11,0.6111111111111112
1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,36,22,0.6111111111111112
